,Date,Sportsbook,Sport,System,Notes,Pick,0/U,Spread,BetType,FreeBet,Amount,Odds,Result,PushAmount,Unnamed: 14,CleanedOdds,Winnings,PotentialPayout,BreakEvenPercentage,Expected Value,ActualPayout
101,2022-12-02,FanDuel,Hockey,CBS,,Columbus,,,Moneyline,N,0.09,198.0,W,,,198.0,0.18,0.27,0.34,0.94,0.27
102,2022-12-02,FanDuel,Basketball,Engelstad,,Golden State Warriors 11+ winning margin,,,Moneyline,N,0.09,140.0,L,,,140.0,0.13,0.22,0.42,0.95,-0.09
103,2022-12-03,FanDuel,Soccer,Promo,Odds boost,USA,,,Moneyline,Y,1.0,190.0,L,,,190.0,1.9,2.9,0.34,0.34,0.0
104,2022-12-03,FanDuel,Soccer,Sheehan Newsletter,,Australia,,,Moneyline,N,0.09,1100.0,L,,,1100.0,0.99,1.08,0.08,0.92,-0.09
105,2022-12-03,FanDuel,College Football,CBS,,Toledo-Ohio,O 54.5,,Over/Under,N,0.09,-110.0,L,,,110.0,0.08,0.17,0.52,0.96,-0.09
106,2022-12-03,FanDuel,College Basketball,CBS,,Tulsa,,3.5,Spread,N,0.09,-120.0,L,,,120.0,0.08,0.17,0.55,0.96,-0.09
107,2022-12-03,FanDuel,College Basketball,Intuition,,16 leg parlay,,,Parlay,N,0.09,100.0,L,,,100.0,0.09,0.18,0.5,0.96,-0.09
108,2022-12-03,FanDuel,Basketball,Intuition,,13 leg parlay,,,Parlay,Y,0.09,209.0,L,,,209.0,0.19,0.28,0.32,0.94,0.0
109,2022-12-03,FanDuel,Basketball,Promo,Odds boost,Rudy Gobert +15 points/Minnesota win,,,Parlay,Y,0.09,160.0,L,,,160.0,0.14,0.23,0.38,0.94,0.0
110,2022-12-04,FanDuel,Football,CBS,,Giants,,,Moneyline,Y,0.09,108.0,P,0.09,,108.0,0.1,0.19,0.48,0.95,0.09
111,2022-12-04,FanDuel,Football,Engelstad,,Raiders 1-13 winning margin,,,Prop,Y,0.09,150.0,W,,,150.0,0.14,0.23,0.4,0.95,0.14
112,2022-12-04,FanDuel,Football,Engelstad,,Chiefs 1-13 winning margin,,,Prop,Y,0.09,150.0,L,,,150.0,0.14,0.23,0.4,0.95,0.0
113,2022-12-04,FanDuel,Football,Engelstad,,Giants 1-13 winning margin,,,Prop,Y,0.09,185.0,P,0.09,,185.0,0.17,0.26,0.35,0.94,0.09
114,2022-12-04,FanDuel,Football,Promo,Odds boost,Patrick Mahomes has 1+ passing TDs in each half,,,Prop,Y,0.09,120.0,L,,,120.0,0.11,0.2,0.45,0.95,0.0
115,2022-12-04,FanDuel,Football,Promo,Odds boost,"Tua, Joe Burrow and Justin Herbert to each throw for >225 yds",,,Prop,Y,0.09,150.0,W,,,150.0,0.14,0.23,0.4,0.95,0.14
116,2022-12-04,FanDuel,Football,Intuition,,16 bet same game parlay with odds <-500,,,Parlay,N,0.09,-104.0,W,,,104.0,0.09,0.18,0.51,0.96,0.18
117,2022-12-04,FanDuel,Basketball,Mr Over Under NBA Daily Method,,5-4-3-2 made threes parlay in Nuggets game,,,Parlay,Y,0.09,10453.0,L,,,10453.0,9.41,9.5,0.01,0.91,0.0
118,2022-12-04,FanDuel,Basketball,Mr Over Under NBA Daily Method,,All unders  on points scored for top 6 players,,,Parlay,Y,0.09,4309.0,L,,,4309.0,3.88,3.97,0.02,0.91,0.0
119,2022-12-04,FanDuel,Basketball,Mr Over Under NBA Daily Method,,"Top 2 scorers of 25+, 20+, and 15+ points parlay",,,Parlay,Y,0.09,3446.0,L,,,3446.0,3.1,3.19,0.03,0.91,0.0
120,2022-12-04,FanDuel,Football,Promo,Odds boost,Tony Pollard and Jonathan Taylor to both rush >50 yards,,,Parlay,Y,0.09,125.0,W,,,125.0,0.11,0.2,0.44,0.95,0.11
121,2022-12-04,BetMGM,Football,Intuition,,"Bucs -3.5, Over 40.5 points, Brady >3 Passing TDs",,,Parlay,Y,10.0,425.0,L,,,425.0,42.5,52.5,0.19,-6.1,0.0
122,2022-12-04,BetMGM,Basketball,Engelstad,,Bucks and Sixers 6-10 Winning Margin parlay,,,Parlay,Y,5.0,1706.0,L,,,1706.0,85.3,90.3,0.06,-3.7,0.0
123,2022-12-04,BetMGM,Soccer,>-215 line,,"Croatia, Brazil, Spain moneyline parlay",,,Parlay,Y,5.0,103.0,L,,,103.0,5.15,10.15,0.49,0.45,0.0
124,2022-12-04,BetMGM,Basketball,>-215 line,,8 leg international basketball moneyline parlay,,,Parlay,Y,5.0,117.0,L,,,117.0,5.85,10.85,0.46,0.3,0.0
125,2022-12-04,FanDuel,Basketball,Mr Over Under NBA Daily Method,,"Anfernee Simons 20+ points, Buddy Hield 15+ points, Myles Turner 10+ points parlay",,,Parlay,Y,0.09,139.0,W,,,139.0,0.13,0.22,0.42,0.95,0.13
126,2022-12-05,FanDuel,Football,Promo,Odds boost,"Over 21.5 points in 1st half Under 44.5 total points
Raiders -0.5 1st quarter spread
Raiders -3.5 1st half spread",,,Parlay,Y,1.0,1459.0,L,,,1459.0,14.59,15.59,0.06,0.06,0.0
127,2022-12-06,FanDuel,Basketball,Poisson,,Lamar Stevens rebounds,U 3.5,,Prop,N,0.57,-104.0,L,,,104.0,0.55,1.12,0.51,0.72,-0.57
128,2022-12-06,FanDuel,Basketball,Promo,,"Points:
Luka Doncic Over 32.5
Nikola Jokic Under 24.5
Jamal Murray Under 20.5
Aaron Gordon Under 15.5",,,Parlay,N,2.0,1160.0,L,,,1160.0,23.2,25.2,0.08,-0.84,-2.0
129,2022-12-07,DraftKings,Basketball,CBS,,"Milwaukee Bucks -6.5, Clippers -6, Suns money line +100",,,Parlay,N,5.0,613.0,L,,,613.0,30.65,35.65,0.14,-3.3,-5.0
130,2022-12-07,FanDuel,Basketball,Promo,Odds boost,Trae Young and Zion Williamson to score 50+ total points,,,Parlay,Y,0.09,100.0,L,,,100.0,0.09,0.18,0.5,0.96,0.0
131,2022-12-07,FanDuel,Football,ParlayIQ,,"Kyren Williams <25.5 rushing yds
Josh Jacobs >21.5 receiving yds
Mack Hollins <45.5 receiving yds
Davante Adams>88.5 receiving yds",,,Prop,Y,1.0,1131.0,L,,,1131.0,11.31,12.31,0.08,0.08,0.0
132,2022-12-07,DraftKings,Basketball,CBS,,Iowa,,-5.0,Moneyline,Y,5.0,-110.0,W,,,110.0,4.55,9.55,0.52,0.6,4.55
133,2022-12-07,FanDuel,Basketball,CBS,,San Antonio Spurs,,,Moneyline,Y,0.09,104.0,W,,,104.0,0.09,0.18,0.49,0.95,0.09
134,2022-12-08,FanDuel,Basketball,ParlayIQ,,Jerami Grant 3’s,,2.5,Prop,Y,0.09,112.0,W,,,112.0,0.1,0.19,0.47,0.95,0.1
135,2022-12-08,FanDuel,Basketball,Mr Over Under NBA Daily Method,,"Anfernee Simons 5+ 3s, Damian Lillard 4+ 3s, Jerami Grant 3+ 3s, Jamal Murray 2+ 3s",,,Parlay,Y,0.09,1915.0,L,,,1915.0,1.72,1.81,0.05,0.91,0.0
136,2022-12-08,FanDuel,Basketball,Promo,Odds boost,"Joel Embed, Luka, and Giannis to all score 25+ points",,,Parlay,Y,0.18,120.0,W,,,120.0,0.22,0.4,0.45,0.9,0.22
137,2022-12-08,FanDuel,Basketball,CBS,,Cleveland Cavaliers,,-6.0,Spread,Y,0.09,-108.0,L,,,108.0,0.08,0.17,0.52,0.96,0.0
138,2022-12-08,FanDuel,Football,CBS,,Chiefs Total Points,U 26.5,,Over/Under,Y,0.09,104.0,L,,,104.0,0.09,0.18,0.49,0.95,0.0
139,2022-12-08,FanDuel,Football,CBS,,LA Chargers,,3.5,Spread,Y,0.09,-114.0,P,0.06,,114.0,0.08,0.17,0.53,0.96,0.06
140,2022-12-08,FanDuel,Football,CBS,,Chiefs Total Points,U 26.5,,Over/Under,Y,0.09,104.0,L,,,104.0,0.09,0.18,0.49,0.95,0.0
141,2022-12-09,FanDuel,Soccer,Intuition,,Brazil and Netherlands to advance parlay,,,Parlay,Y,0.09,165.0,L,,,165.0,0.15,0.24,0.38,0.94,0.0
142,2022-12-09,FanDuel,Soccer,Promo,Odds boost,Brazil & Argentina to qualify for Semi finals,,,Parlay,Y,0.09,120.0,L,,,120.0,0.11,0.2,0.45,0.95,0.0
143,2022-12-09,FanDuel,Soccer,Intuition,,Netherlands to advance,,,Futures,Y,0.09,130.0,L,,,130.0,0.12,0.21,0.43,0.95,0.0
144,2022-12-09,FanDuel,Hockey,CBS,,Columbus,,,Moneyline,Y,0.09,205.0,W,,,205.0,0.18,0.27,0.33,0.94,0.18
145,2022-12-09,FanDuel,Hockey,CBS,,Arizona Coyotes,,1.5,Moneyline,Y,0.09,110.0,W,,,110.0,0.1,0.19,0.48,0.95,0.1
146,2022-12-10,FanDuel,Basketball,CBS,,UNC Wilmington,,,Moneyline,Y,0.09,-110.0,W,,,110.0,0.08,0.17,0.52,0.96,0.08
147,2022-12-10,FanDuel,Basketball,Intuition,,KU lead after 1st half,,16.0,Prop,N,0.09,180.0,W,,,180.0,0.16,0.25,0.36,0.94,0.25
148,2022-12-10,FanDuel,Hockey,CBS,,New York Islanders,,,Moneyline,Y,10.0,120.0,W,,,120.0,12.0,22.0,0.45,-0.5,12.0
149,2022-12-10,FanDuel,Basketball,Poisson,,Buddy Hield assists,U 2.5,,Prop,N,0.09,132.0,W,,,132.0,0.12,0.21,0.43,0.95,0.21
150,2022-12-10,FanDuel,Basketball,Poisson,,Rudy Gobert rebounds,U 12.5,,Prop,N,0.09,102.0,W,,,102.0,0.09,0.18,0.5,0.96,0.18
151,2022-12-10,FanDuel,Basketball,Promo,Odds boost,Jayson Tatum and Steph to score 25+ points,,,Prop,N,0.09,120.0,L,,,120.0,0.11,0.2,0.45,0.95,-0.09
152,2022-12-11,FanDuel,Football,Promo,Odds boost,Chiefs and Seahawks to win,,,Parlay,N,0.09,110.0,L,,,110.0,0.1,0.19,0.48,0.95,-0.09
153,2022-12-11,FanDuel,Basketball,Poisson,,Quentin Grimes rebounds,U 3.5,,Prop,N,0.09,126.0,L,,,126.0,0.11,0.2,0.44,0.95,-0.09
154,2022-12-11,FanDuel,Basketball,Poisson,,Quentin Grimes 3s,U 1.5,,Prop,N,0.09,108.0,W,,,108.0,0.1,0.19,0.48,0.95,0.19
155,2022-12-11,FanDuel,Football,Promo,Odds boost,Austin Ekeler 25+ and Jaylen Waddle 40+ receiving yards,,,Parlay,N,0.09,100.0,L,,,100.0,0.09,0.18,0.5,0.96,-0.09
156,2022-12-13,FanDuel,Basketball,Promo,Odds boost,"Zion, Tatum, Lebrun and Anthony Davis to score over 20",,,Parlay,N,0.09,100.0,W,,,100.0,0.09,0.18,0.5,0.96,0.18
157,2022-12-13,DraftKings,Basketball,Promo,Odds boost,Giannis to get double double,,,Prop,N,5.0,100.0,W,,,100.0,5.0,10.0,0.5,0.5,10.0
158,2022-12-17,BetMGM,Hockey,Promo,NHL promo,"Oilers, Connor McDavid to score and more than 6.5 goals",,,Parlay,Y,5.0,200.0,L,,,200.0,10.0,15.0,0.33,-1.35,0.0
159,2022-12-17,BetMGM,Football,Promo,NFL promo,"Chiefs, Pacheco over 54.5 rushing yards, Mahomes 2+ passing TDs, Travis Kelce over 64.5 receiving yards and Travis Kelce TD",,,Parlay,Y,5.0,240.0,L,,,240.0,12.0,17.0,0.29,-1.55,0.0
160,2022-12-18,BetMGM,Soccer,Promo,World Cup promo,"Argentina to win 2-1, 3-1 or 4-1",,,Prop,Y,5.0,160.0,L,,,160.0,8.0,13.0,0.38,-1.1,0.0
161,2022-12-22,BetMGM,Football,Promo,NFL promo,New York Jets,,15.5,Spread,Y,5.0,150.0,L,,,150.0,7.5,12.5,0.4,-1.0,0.0
162,2022-12-22,FanDuel,Football,Promo,NFL promo,Chiefs to complete 1+ passes,,,Prop,N,50.0,100.0,W,,,100.0,50.0,100.0,0.5,0.0,100.0
163,2022-12-23,BetMGM,Basketball,Promo,,Giannis and Nic Claxton to get double double,,,Parlay,Y,5.0,500.0,L,,,500.0,25.0,30.0,0.17,-3.15,0.0
164,2022-12-31,Barstool,Basketball,KenPom,Checked  defensive rankings,Saint Mary’s- Regular Season Winner of WCC,,,Futures,N,0.52,900.0,W,,,900.0,4.68,5.2,0.1,0.53,5.2
165,2022-12-31,DraftKings,Football,Promo,,Chiefs to complete 1+ passes,,,Prop,N,25.0,100.0,W,,,100.0,25.0,50.0,0.5,0.5,50.0
166,2023-01-04,DraftKings,Basketball,CBS,,Milwaukee Bucks,,,Moneyline,N,0.25,155.0,W,,,155.0,0.39,0.64,0.39,0.85,0.64
167,2023-01-05,DraftKings,Hockey,CBS,,"Seattle Kraken money line, over 6.5 goals and Auston Matthews to score",,,Parlay,N,0.63,750.0,L,,,750.0,4.72,5.35,0.12,0.45,-0.63
168,2023-01-07,DraftKings,College Basketball,CBS,,George Washington,,,Moneyline,Y,0.63,100.0,W,,,100.0,0.63,1.26,0.5,0.68,0.63
169,2023-01-07,DraftKings,College Basketball,CBS,,Idaho,,,Moneyline,N,0.63,105.0,L,,,105.0,0.66,1.29,0.49,0.68,-0.63
170,2023-02-11,DraftKings,Basketball,ParlayIQ,,Darius Garland Assists,U 7.5,,Prop,Y,5.0,110.0,W,,,110.0,5.5,10.5,0.48,0.4,5.5
171,2023-02-16,FanDuel,College Basketball,ParlayIQ,,Idaho,,,Moneyline,Y,50.0,104.0,W,,,104.0,52.0,102.0,0.49,-0.5,52.0
172,2023-02-16,FanDuel,Baseball,Intuition,,Cleveland Guardians to win AL Central,,,Futures,Y,5.0,135.0,Pe,,,135.0,6.75,11.75,0.43,0.15,0.0
173,2023-03-21,BetMGM,College Basketball,KenPom,,Houston to win NCAA Tournament,,,Futures,Y,10.0,400.0,L,,,400.0,40.0,50.0,0.2,-6.0,0.0
174,2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Guardians 2nd place in AL Central,,,Futures,N,0.5,215.0,Pe,,,215.0,1.08,1.58,0.32,0.66,0.0
175,2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,White Sox 1st place in AL Central,,,Futures,N,0.5,250.0,Pe,,,250.0,1.25,1.75,0.29,0.64,0.0
176,2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Padres 1st in NL West,,,Futures,N,0.5,120.0,Pe,,,120.0,0.6,1.1,0.45,0.72,0.0
177,2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Angels 2nd in AL West,,,Futures,N,0.5,310.0,Pe,,,310.0,1.55,2.05,0.24,0.62,0.0
178,2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Tigers 5th in AL Central,,,Futures,N,0.5,115.0,Pe,,,115.0,0.57,1.07,0.47,0.74,0.0
179,2023-03-25,DraftKings,Baseball,Intuition,,Royals 3rd in AL Central,,,Futures,N,0.5,475.0,Pe,,,475.0,2.38,2.88,0.17,0.58,0.0
180,2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Royals 4th in AL Central,,,Futures,N,0.5,180.0,Pe,,,180.0,0.9,1.4,0.36,0.68,0.0
181,2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Braves to win World Series,,,Futures,N,1.0,670.0,Pe,,,670.0,6.7,7.7,0.13,0.13,0.0
182,2023-03-25,DraftKings,Baseball,Internet,Read it on several sites,Angels to Win AL West,,,Futures,N,0.5,750.0,Pe,,,750.0,3.75,4.25,0.12,0.56,0.0
183,2023-03-26,DraftKings,Baseball,Laghezza,,Shane McClanahan to win AL Cy Young,,,Futures,N,0.25,1200.0,Pe,,,1200.0,3.0,3.25,0.08,0.77,0.0
184,2023-03-26,DraftKings,Baseball,Laghezza,,Luis Castillo to win AL Cy Young,,,Futures,N,0.25,1700.0,Pe,,,1700.0,4.25,4.5,0.06,0.76,0.0
185,2023-03-26,DraftKings,Baseball,Laghezza,,Masataka Yoshida to win AL Rookie of the Year,,,Futures,N,0.25,500.0,Pe,,,500.0,1.25,1.5,0.17,0.79,0.0
186,2023-03-26,DraftKings,Baseball,Laghezza,,Kyle Tucker over 154.5 hits,,,Futures,N,0.25,-105.0,Pe,,,105.0,0.24,0.49,0.51,0.88,0.0
187,2023-03-26,DraftKings,Baseball,Laghezza,,Kyle Tucker to win AL MVP,,,Futures,N,0.25,2500.0,Pe,,,2500.0,6.25,6.5,0.04,0.76,0.0
188,2023-03-26,DraftKings,Baseball,Laghezza,,Steven Kwan Hits Leader,,,Futures,N,0.25,3500.0,Pe,,,3500.0,8.75,9.0,0.03,0.76,0.0
189,2023-03-26,DraftKings,Baseball,Laghezza,,Steven Kwan Runs Leader,,,Futures,N,0.25,7000.0,Pe,,,7000.0,17.5,17.75,0.01,0.75,0.0
190,2023-03-26,DraftKings,Baseball,Laghezza,,Esteury Ruiz SB Leader,,,Futures,N,0.25,700.0,Pe,,,700.0,1.75,2.0,0.12,0.78,0.0
191,2023-03-26,DraftKings,Baseball,Sheehan Newsletter,,Toronto Blue Jays AL Winner,,,Futures,N,0.25,650.0,Pe,,,650.0,1.62,1.87,0.13,0.78,0.0
192,2023-03-26,DraftKings,Baseball,Intuition,,Royals to win 67-72 games,,,Futures,N,0.25,265.0,Pe,,,265.0,0.66,0.91,0.27,0.82,0.0
193,2023-03-26,DraftKings,Baseball,Intuition,,Shohei Ohtani to win AL MVP,,,Futures,N,0.25,190.0,Pe,,,190.0,0.48,0.73,0.34,0.84,0.0
194,2023-03-26,DraftKings,Baseball,Intuition,,Blake Snell under 183.5 K's,,,Futures,N,0.25,-120.0,Pe,,,120.0,0.21,0.46,0.55,0.89,0.0
195,2023-03-26,DraftKings,Baseball,Intuition,,Jacob deGrom under 198.5 K's,,,Futures,N,0.25,-120.0,Pe,,,120.0,0.21,0.46,0.55,0.89,0.0
196,2023-03-26,DraftKings,Baseball,Intuition,,Spencer Strider over 206.5 K's,,,Futures,N,0.25,-105.0,Pe,,,105.0,0.24,0.49,0.51,0.88,0.0
197,2023-03-26,DraftKings,Basketball,Promo,Live SGP odds boost,Warriors moneyline and Warriors to score over 109.5 points,,,Parlay,N,0.25,-105.0,L,,,105.0,0.24,0.49,0.51,0.88,-0.25
198,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,
199,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,
200,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,
